Timestamp,File,Category,True_Algo,True_Keysize,Model,Tier,Response_Time_sec,Predicted_ALGO,Predicted_KEYSIZE,BREAKABLE,Accuracy_Binary,Notes
2026-03-21T12:02:27.277828,DES_1kb.bin,Classical-Sym,DES,56,Qwen3.5-397B,Tier-1-Extended,52.87,DES,56,YES,1.0,"ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: The filename suggests DES, which uses a 64-bit block"
2026-03-21T12:03:07.103100,DES_10kb.bin,Classical-Sym,DES,56,Qwen3.5-397B,Tier-1-Extended,38.82,DES,56,YES,1.0,"ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: The filename identifies DES, which operates on 64-bi"
2026-03-21T12:03:36.593924,AES256_1kb.bin,Modern-Sym,AES-256,256,Qwen3.5-397B,Tier-1-Extended,28.48,AES,256,NO,0.0,ALGO: AES KEYSIZE: 256 BREAKABLE: NO REASONING: The ciphertext displays high entropy with no discern
2026-03-21T12:04:21.342306,AES256_10kb.bin,Modern-Sym,AES-256,256,Qwen3.5-397B,Tier-1-Extended,43.74,AES-256,256,NO,1.0,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The data shows high entropy and no structural pa
2026-03-21T12:05:10.517216,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Qwen3.5-397B,Tier-1-Extended,48.17,AES-256,256,NO,0.0,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The hex dump shows uniform byte distribution con
2026-03-21T12:06:35.691106,RSA2048_AES256_10kb.bin,Hybrid-Asym,RSA2048,2048,Qwen3.5-397B,Tier-1-Extended,84.17,AES-256,256,NO,0.0,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The data shows high entropy and no structural pa
2026-03-21T12:07:40.453168,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Qwen3.5-397B,Tier-1-Extended,63.76,ML-KEM,256,NO,1.0,ALGO: ML-KEM KEYSIZE: 256 BREAKABLE: NO REASONING: Entropy is high with no structural patterns or fi
2026-03-21T12:08:37.238741,ML_KEM_768_10kb.bin,PQC,ML-KEM,768,Qwen3.5-397B,Tier-1-Extended,55.78,ML-KEM-768,256,NO,1.0,ALGO: ML-KEM-768 KEYSIZE: 256 BREAKABLE: NO REASONING: The hex dump reveals high entropy with no dis
2026-03-21T12:08:43.896616,DES_1kb.bin,Classical-Sym,DES,56,GPT-OSS-120B,Tier-1-Extended,5.65,DES,56,YES,1.0,ALGO: DES   KEYSIZE: 56 bits   BREAKABLE: YES   REASONING: 64‑bit block size evident from the 8‑byte
2026-03-21T12:08:48.299583,DES_10kb.bin,Classical-Sym,DES,56,GPT-OSS-120B,Tier-1-Extended,3.39,UNKNOWN,0,UNKNOWN,0.0,
2026-03-21T12:08:51.165988,AES256_1kb.bin,Modern-Sym,AES-256,256,GPT-OSS-120B,Tier-1-Extended,1.86,AES-256,256,NO,1.0,ALGO: AES-256   KEYSIZE: 256 bits   BREAKABLE: NO   REASONING: 16‑byte block size with uniformly dis
2026-03-21T12:08:54.038737,AES256_10kb.bin,Modern-Sym,AES-256,256,GPT-OSS-120B,Tier-1-Extended,1.86,AES-256,256,NO,1.0,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: 128‑bit block size, ciphertext exhibits near‑max"
2026-03-21T12:08:59.069658,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,GPT-OSS-120B,Tier-1-Extended,4.02,RSA‑2048 + AES‑256 (CBC),0,UNKNOWN,0.0,ALGO: RSA‑2048 + AES‑256 (CBC)   KEYSIZE: RSA 204
2026-03-21T12:09:02.862578,RSA2048_AES256_10kb.bin,Hybrid-Asym,RSA2048,2048,GPT-OSS-120B,Tier-1-Extended,2.79,RSA-2048 + AES-256 (Hybrid),2048,UNKNOWN,1.0,ALGO: RSA-2048 + AES-256 (Hybrid)   KEYSIZE: 2048/256 bits   BREAK
2026-03-21T12:09:06.771504,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,GPT-OSS-120B,Tier-1-Extended,2.9,ML‑KEM,768,NO,0.0,ALGO: ML‑KEM   KEYSIZE: 768 bits   BREAKABLE: NO   REASONING: The ciphertext length (~1 KB) matches 
2026-03-21T12:09:10.424472,ML_KEM_768_10kb.bin,PQC,ML-KEM,768,GPT-OSS-120B,Tier-1-Extended,2.64,UNKNOWN,0,UNKNOWN,0.0,
